City,Title,Artist,Tempo in BPM,Syllables per line,Syllables per word,Syllable Variation,Novel Word Proportion,Rhymes per line,Rhymes per syllable,Rhyme Density,End Pairs Per Line,End Pairs Grown,End Pairs Shrunk,End Pairs Even,Average End Score,Average End Syllable Score,Singles per Rhyme,Doubles per Rhyme,Triples per Rhyme,Quads per Rhyme,Longs per Rhyme,Perfect Rhymes,Line Internals per Line,Links per line,bridges per line,Compounds per line,Chaining per line,Triplet Percentage,Avg Speed per Syllable
New Orleans,ThisMe,Webbie,132,9.7083,1.2394,3.3101,0.8569,1.8333,0.1888,0.309,0.4167,0.4,0.3,0.3,3.4997,2.6921,0.6818,0.2045,0,0.0909,0.0227,0.2273,0.6667,0.375,0.375,0.0833,0.2083,0.061,0.1718
New Orleans,StaringattheWalls,C-Murder,152,12.3333,1.2437,1.1785,0.8935,1.5833,0.1284,0.1824,0.5,0.3333,0,0.6667,4.2435,3.6373,0.6316,0.3158,0.0526,0,0,0.0526,0.5,0.0833,0.5,0.0833,0.1667,0,0.2198
New Orleans,YaHeardMe,B.G.,148,12.25,1.2405,1.299,0.8323,2,0.1633,0.2908,0.625,0.1,0.1,0.8,4.6776,3.1184,0.5313,0.1875,0.25,0.0313,0,0.125,0.4375,0.3125,0.625,0.0625,0.0625,0,0.2357
New York,Peso,A$AP Rocky,140,14.0833,1.4202,1.6562,0.9653,2.5833,0.1834,0.3373,0.5,0,0,1,5.1887,2.8302,0.4516,0.3871,0.0645,0.0645,0.0323,0,1,0.1667,0.9167,0.4167,0.4167,0,0.2308
New York,BodakYellow,Cardi B,125,14.2941,1.0897,1.4044,0.8707,2.4118,0.1687,0.2593,0.5294,0,0.1111,0.8889,3.5028,3.5028,0.6829,0.2195,0.0244,0.0244,0.0488,0.1463,0.8824,0.2941,0.7059,0.2353,0.0588,0.2298,0.2424
New York,TheStoryofO.J.,Jay-Z,88,11.1429,1.2581,2.8997,0.8709,1.9286,0.1731,0.3269,0.2857,0.5,0,0.5,4.8636,4.8636,0.6667,0.2222,0,0,0.1111,0.1111,0.5714,0.3571,0.7143,0.2143,0.1429,0.119,0.2212
New York,Episode3-GrandPrix,Method Man,93,11.4211,1.2994,3.5439,0.8493,2.1053,0.1843,0.318,0.4737,0.3333,0,0.6667,3.5412,2.4516,0.45,0.475,0.025,0.025,0.025,0.075,0.5789,0.2105,0.8421,0.1579,0,0,0.1834
New York,Royalty,"Nas, RaVaughn",94,12,1.2,4.2583,0.8822,2.0667,0.1722,0.3,0.2667,0.25,0.5,0.25,4.713,3.142,0.5484,0.2903,0.0645,0.0645,0.0323,0.0645,1,0.2667,0.5333,0.1333,0.2667,0,0.2064
New York,HoldOn,50 Cent,82,11.5625,1.3214,1.619,0.9263,1.9375,0.1676,0.2541,0.375,0.1667,0,0.8333,3.2024,2.7449,0.6774,0.1935,0.0645,0.0645,0,0.0645,0.6875,0.375,0.5,0.125,0.75,0.0149,0.2243
New York,ManAbove,Rakim,165,11.9375,1.3841,2.6332,0.9341,1.6875,0.1414,0.2408,0.375,0.1667,0.3333,0.5,5.1005,3.0603,0.5926,0.2593,0.0741,0,0.0741,0.2222,0.625,0.1875,0.5,0.0625,0,0,0.2
New York,ForMyPeople,Joey Bada$$,101,11.25,1.1613,2.222,0.8552,1.4375,0.1278,0.1333,0.5,0.375,0,0.625,3.7732,3.7732,0.9565,0.0435,0,0,0,0.1304,0.5625,0.25,0.125,0.0625,0,0,0.1731
New York,LookinAss,Nicki Minaj,114,10.4211,1.2,3.1173,0.7431,1.7895,0.1717,0.3737,0.3158,0.1667,0.3333,0.5,6.9851,4.1911,0.5,0.2059,0.0882,0.1471,0.0588,0.1765,0.5263,0.2632,0.6842,0,0.1053,0.0708,0.1986
New York,HotNigga,BobbyShmurda,84,11.0625,1.1645,1.4348,0.8423,1.625,0.1469,0.2486,0.8125,0.2308,0.0769,0.6923,8.6566,4.168,0.4231,0.4615,0.1154,0,0,0.0385,0.3125,0.1875,0.3125,0,0,0,0.2297
