"","NoteValue","Stress","Rest","Lyrics","Break","Rhythm","OTL","COM","ARE","Bar","Position"
"15.138","12","0",".","in",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","11",0.854166666666686
"15.139","12","0",".","a",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","11",0.9375
"15.141","12","1",".","Ca-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.0208333333333144
"15.142","12","0",".","-na-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.104166666666686
"15.143","12","0",".","-da",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.1875
"15.144","12","1",".","Dry",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.270833333333314
"15.145","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","12",0.4375
"15.146","24","1",".","Ri-","3",0.0416666666666667,"Hot(Remix)","YoungThug","Atlanta","12",0.479166666666686
"15.147","24","0",".","-din",".",0.0416666666666667,"Hot(Remix)","YoungThug","Atlanta","12",0.520833333333314
"15.148","12","0",".","in",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.604166666666686
"15.149","12","0",".","that",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.6875
"15.150","12","1",".","space-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.770833333333314
"15.151","12","0",".","-ship",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.854166666666686
"15.152","12","0",".","like",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","12",0.9375
"15.154","12","1",".","Bon-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.0208333333333144
"15.155","12","0",".","-nie",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.104166666666686
"15.156","12","0",".","and",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.1875
"15.157","12","1",".","Clyde",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.270833333333314
"15.158","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","13",0.4375
"15.159","12","1",".","Don't","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.520833333333314
"15.160","12","0",".","wor-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.604166666666686
"15.161","12","0",".","-ry",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.6875
"15.162","12","1",".","ba-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.770833333333314
"15.163","12","0",".","-by",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.854166666666686
"15.164","12","0",".","I",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","13",0.9375
"15.166","12","1",".","keep",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.0208333333333144
"15.167","12","0",".","me",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.104166666666686
"15.168","12","0",".","some",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.1875
"15.169","12","1",".","fire",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.270833333333314
"15.170","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.354166666666686
"15.171","12","0",".","She-","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.4375
"15.172","12","1",".","-ne-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.520833333333314
"15.173","12","0",".","-nehs",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.604166666666686
"15.174","12","0",".","and",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.6875
"15.175","12","1",".","Bir-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.770833333333314
"15.176","12","0",".","-kins",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.854166666666686
"15.177","12","0",".","she",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","14",0.9375
"15.179","12","1",".","can-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.0208333333333144
"15.180","12","0",".","-not",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.104166666666686
"15.181","12","0",".","de-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.1875
"15.182","12","1",".","-cide",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.270833333333314
"15.183","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.354166666666686
"15.184","12","0",".","The","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.4375
"15.185","12","1",".","la-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.520833333333314
"15.186","12","0",".","-test",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.604166666666686
"15.187","12","0",".","Mer-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.6875
"15.188","12","1",".","-ce-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.770833333333314
"15.189","12","0",".","-des",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.854166666666686
"15.190","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","15",0.9375
"15.192","12","1",".","go-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.0208333333333144
"15.193","12","0",".","-to",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.104166666666686
"15.194","12","0",".","sur-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.1875
"15.195","12","1",".","-prise",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.270833333333314
"15.196","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.354166666666686
"15.197","12","0",".","don't","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.4375
"15.198","12","1",".","sleep",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.520833333333314
"15.199","12","0",".","on",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.604166666666686
"15.200","12","0",".","miss",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.6875
"15.201","12","1",".","la-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.770833333333314
"15.202","12","0",".","-dy",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.854166666666686
"15.203","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","16",0.9375
"15.205","12","1",".","pus-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.0208333333333144
"15.206","12","0",".","-sy",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.104166666666686
"15.207","12","0",".","a",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.1875
"15.208","12","1",".","prize",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.270833333333314
"15.209","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","17",0.4375
"15.210","12","1",".","Dick","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.520833333333314
"15.211","12","0",".","in",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.604166666666686
"15.212","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.6875
"15.213","12","1",".","back",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.770833333333314
"15.214","12","0",".","while",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.854166666666686
"15.215","12","0",".","I'm",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","17",0.9375
"15.217","12","1",".","grip-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.0208333333333144
"15.218","12","0",".","-pin",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.104166666666686
"15.219","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.1875
"15.220","12","1",".","sides",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.270833333333314
"15.221","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","18",0.4375
"15.222","12","1",".","Big-","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.520833333333314
"15.223","12","0",".","-ger",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.604166666666686
"15.224","12","0",".","May-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.6875
"15.225","12","1",".","-bach",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.770833333333314
"15.226","12","0",".","this",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.854166666666686
"15.227","12","0",".","ain't",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","18",0.9375
"15.229","12","1",".","re-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.0208333333333144
"15.230","12","0",".","-gu-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.104166666666686
"15.231","12","0",".","-lar",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.1875
"15.232","12","1",".","size",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.270833333333314
"15.233","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","19",0.4375
"15.234","12","1",".","We","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.520833333333314
"15.235","12","0",".","real-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.604166666666686
"15.236","12","0",".","-ly",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.6875
"15.237","12","1",".","fly",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.770833333333314
"15.238","12","0",".","we",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.854166666666686
"15.239","12","0",".","like",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","19",0.9375
"15.241","12","1",".","pe-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.0208333333333144
"15.242","12","0",".","-li-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.104166666666686
"15.243","12","0",".","-can",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.1875
"15.244","12","1",".","glide",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.270833333333314
"15.245","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","20",0.4375
"15.246","12","1",".","Bitch","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.520833333333314
"15.247","12","0",".","you",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.604166666666686
"15.248","12","0",".","ain't",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.6875
"15.249","12","1",".","slick",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.770833333333314
"15.250","12","0",".","I",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.854166666666686
"15.251","12","0",".","can",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","20",0.9375
"15.253","12","1",".","tell",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.0208333333333144
"15.254","12","0",".","the",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.104166666666686
"15.255","12","0",".","dis-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.1875
"15.256","12","1",".","-guise",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.270833333333314
"15.257","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.354166666666686
"15.258","12","0",".","Up-","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.4375
"15.259","12","1",".","-gra-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.520833333333314
"15.260","12","0",".","-ded",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.604166666666686
"15.261","12","0",".","my",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.6875
"15.262","12","1",".","wrist",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.770833333333314
"15.263","12","0",".","put",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.854166666666686
"15.264","12","0",".","ba-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","21",0.9375
"15.266","12","1",".","-guettes",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.0208333333333144
"15.267","12","0",".","in",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.104166666666686
"15.268","12","0",".","that",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.1875
"15.269","12","1",".","Sky",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.270833333333314
"15.270","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.354166666666686
"15.271","12","0",".","She","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.4375
"15.272","12","1",".","sing",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.520833333333314
"15.273","12","0",".","I",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.604166666666686
"15.274","12","0",".","might",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.6875
"15.275","12","1",".","sign",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.770833333333314
"15.276","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.854166666666686
"15.277","12","0",".","and",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","22",0.9375
"15.279","12","1",".","change",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.0208333333333144
"15.280","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.104166666666686
"15.281","12","0",".","whole",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.1875
"15.282","12","1",".","life",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.270833333333314
"15.283","12",".","R",".",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.354166666666686
"15.284","12","0",".","I","3",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.4375
"15.285","12","1",".","told",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.520833333333314
"15.286","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.604166666666686
"15.287","12","0",".","to",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.6875
"15.288","12","1",".","gar-",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.770833333333314
"15.289","12","0",".","-gle",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.854166666666686
"15.290","12","0",".","and",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","23",0.9375
"15.292","12","1",".","work",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","24",0.0208333333333144
"15.293","12","0",".","on",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","24",0.104166666666686
"15.294","12","0",".","her",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","24",0.1875
"15.295","12","1",".","highs",".",0.0833333333333333,"Hot(Remix)","YoungThug","Atlanta","24",0.270833333333314
"15.296","6",".","R",".",".",0.166666666666667,"Hot(Remix)","YoungThug","Atlanta","24",0.4375
"15.297","2",".","R",".",".",0.5,"Hot(Remix)","YoungThug","Atlanta","24",0.9375
"16.6","2.",".","R",".",".",0.75,"Jefe","T.I.","Atlanta","1",0.6875
"16.7","12",".","R",".",".",0.0833333333333333,"Jefe","T.I.","Atlanta","1",0.770833333333314
"16.8","12","1",".","Let","3",0.0833333333333333,"Jefe","T.I.","Atlanta","1",0.854166666666686
"16.9","12","0",".","me",".",0.0833333333333333,"Jefe","T.I.","Atlanta","1",0.9375
"16.11","12","1",".","wel-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.0208333333333144
"16.12","12","0",".","-come",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.104166666666686
"16.13","12","0",".","you",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.1875
"16.14","12","1",".","get",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.270833333333314
"16.15","12","0",".","in-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.354166666666686
"16.16","12","0",".","-tro-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.4375
"16.17","12","1",".","-duced",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.520833333333314
"16.18","12","0",".","to",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.604166666666686
"16.19","12","0",".","the",".",0.0833333333333333,"Jefe","T.I.","Atlanta","2",0.6875
"16.20","4","1",".","king",".",0.25,"Jefe","T.I.","Atlanta","2",0.9375
"16.22","12","1",".","Bent-","3",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.0208333333333144
"16.23","12","0",".","-leys",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.104166666666686
"16.24","12","0",".","Fer-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.1875
"16.25","12","1",".","-ra-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.270833333333314
"16.26","12","0",".","-ris",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.354166666666686
"16.27","12","0",".","brand",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.4375
"16.28","12","1",".","new",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.520833333333314
"16.29","12","0",".","and",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.604166666666686
"16.30","12","0",".","they",".",0.0833333333333333,"Jefe","T.I.","Atlanta","3",0.6875
"16.31","4","1",".","clean",".",0.25,"Jefe","T.I.","Atlanta","3",0.9375
"16.33","12","1",".","So","3",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.0208333333333144
"16.34","12","0",".","di-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.104166666666686
"16.35","12","0",".","-sap-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.1875
"16.36","12","1",".","-poin-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.270833333333314
"16.37","12","0",".","-ted",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.354166666666686
"16.38","12","0",".","when",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.4375
"16.39","12","1",".","nig-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.520833333333314
"16.40","12","0",".","-gas",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.604166666666686
"16.41","12","0",".","talk",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.6875
"16.42","12","1",".","shit",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.770833333333314
"16.43","12","0",".","on","2",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.854166666666686
"16.44","12","0",".","their",".",0.0833333333333333,"Jefe","T.I.","Atlanta","4",0.9375
"16.46","12","1",".","re-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.0208333333333144
"16.47","12","0",".","-cords",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.104166666666686
"16.48","12","0",".","you",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.1875
"16.49","12","1",".","see",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.270833333333314
"16.50","12","0",".","'em",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.354166666666686
"16.51","12","0",".","don't",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.4375
"16.52","12","1",".","do",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.520833333333314
"16.53","12","0",".","a-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.604166666666686
"16.54","12","0",".","-ny-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.6875
"16.55","12","1",".","-thing",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.770833333333314
"16.56","12","0",".","O-","3",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.854166666666686
"16.57","12","0",".","-kay",".",0.0833333333333333,"Jefe","T.I.","Atlanta","5",0.9375
"16.59","12","1",".","kil-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.0208333333333144
"16.60","12","0",".","-lin'",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.104166666666686
"16.61","12","0",".","these",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.1875
"16.62","12","1",".","nig-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.270833333333314
"16.63","12","0",".","-gas",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.354166666666686
"16.64","12","0",".","with",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.4375
"16.65","12","1",".","more",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.520833333333314
"16.66","12","0",".","than",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.604166666666686
"16.67","12","0",".","be-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.6875
"16.68","6","1",".","-fore",".",0.166666666666667,"Jefe","T.I.","Atlanta","6",0.854166666666686
"16.69","12","0",".","Been","3",0.0833333333333333,"Jefe","T.I.","Atlanta","6",0.9375
"16.71","12","1",".","stun-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.0208333333333144
"16.72","12","0",".","-tin'",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.104166666666686
"16.73","12","0",".","and",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.1875
"16.74","12","1",".","shi-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.270833333333314
"16.75","12","0",".","-nin'",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.354166666666686
"16.76","12","0",".","since",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.4375
"16.77","12","1",".","back",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.520833333333314
"16.78","12","0",".","in",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.604166666666686
"16.79","12","0",".","the",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.6875
"16.80","12","1",".","nine-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.770833333333314
"16.81","12","0",".","-ties",".",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.854166666666686
"16.82","12","0",".","I'm","3",0.0833333333333333,"Jefe","T.I.","Atlanta","7",0.9375
"16.84","12","1",".","'bout",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.0208333333333144
"16.85","12","0",".","it",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.104166666666686
"16.86","12","0",".","for-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.1875
"16.87","12","1",".","-got",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.270833333333314
"16.88","12","0",".","it",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.354166666666686
"16.89","12","0",".","the","2",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.4375
"16.90","12","1",".","Glock",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.520833333333314
"16.91","12","0",".","in",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.604166666666686
"16.92","12","0",".","my",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.6875
"16.93","12","1",".","poc-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.770833333333314
"16.94","12","0",".","-ket",".",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.854166666666686
"16.95","12","0",".","re-","3",0.0833333333333333,"Jefe","T.I.","Atlanta","8",0.9375
"16.97","12","1",".","-mind",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.0208333333333144
"16.98","12","0",".","you",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.104166666666686
"16.99","12","0",".","and",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.1875
"16.100","12","1",".","plug",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.270833333333314
"16.101","12","0",".","the",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.354166666666686
"16.102","12","0",".","whole",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.4375
"16.103","12","1",".","ci-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.520833333333314
"16.104","12","0",".","-ty",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.604166666666686
"16.105","12","0",".","be-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.6875
"16.106","12","1",".","-hind",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.770833333333314
"16.107","12","0",".","me",".",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.854166666666686
"16.108","12","0",".","Spent","3",0.0833333333333333,"Jefe","T.I.","Atlanta","9",0.9375
"16.110","12","1",".","hun-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.0208333333333144
"16.111","12","0",".","-dreds",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.104166666666686
"16.112","12","0",".","of",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.1875
"16.113","12","1",".","thou-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.270833333333314
"16.114","12","0",".","-sands",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.354166666666686
"16.115","12","0",".","no",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.4375
"16.116","12","1",".","mil-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.520833333333314
"16.117","12","0",".","-lions",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.604166666666686
"16.118","12","0",".","on",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.6875
"16.119","12","1",".","dia-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.770833333333314
"16.120","12","0",".","-monds",".",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.854166666666686
"16.121","12","0",".","In","3",0.0833333333333333,"Jefe","T.I.","Atlanta","10",0.9375
"16.123","12","1",".","Phil-",".",0.0833333333333333,"Jefe","T.I.","Atlanta","11",0.0208333333333144
"16.124","12","0",".","-ly",".",0.0833333333333333,"Jefe","T.I.","Atlanta","11",0.104166666666686
"16.125","12","0",".","they",".",0.0833333333333333,"Jefe","T.I.","Atlanta","11",0.1875
"16.126","12","1",".","go",".",0.0833333333333333,"Jefe","T.I.","Atlanta","11",0.270833333333314
"16.127","12","0",".","ask",".",0.0833333333333333,"Jefe","T.I.","Atlanta","11",0.354166666666686
