**recip	**stress	**rhyme	**CMPD	**lyrics
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM127	*MM127	*MM127	*MM127	*MM127
*	*	*	*	*
12	0	.	.	in
12	0	.	.	the
12	1	.	.	Lamb'
12	0	.	.	have
12	0	.	.	a
6	1	.	.	drag
12	0	.	.	race
4	.	.	R	.
=29	=29	=29	=29	=29
12	1	.	.	I
12	0	.	.	let
12	0	.	.	them
12	1	.	.	birds
12	0	.	.	take
12	0	.	.	a
6	1	.	.	bath
12	0	.	.	bae
4	.	.	R	.
*-	*-	*-	*-	*-
!!!OTL:	BadandBougee
!!!COM:	Migos
!!!ARE:	Atlanta
!!!RRD:	2017
